county,latitude,longitude,crop_name,soil_pH,nitrogen,phosphorus,potassium,organic_carbon,calcium,magnesium,target_fertilizer,rich_advice_text
Uasin Gishu,0.5143,35.2697,Capsicum,5.32,0.21,10.0,0.88,2.02,3.1,2.29,NPK 23:23:0,"The soil reaction (pH) is satisfactory for crops' growth. Phosphorus and zinc are deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Capsicum: At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When plants are about 15 cm high top dress with 40 kg/acre of calcium ammonium nitrate (CAN) and later about 4 weeks with 80 kg/acre of CAN. 
Tomato: At planting time apply 100 kg/acre of N:P:K 23:23:0. At the start of flowering apply 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. 
Passion fruits: Mix top soil with 10 kg of well decomposed manure or compost and 50 gm of N:P:K 23:23:0 per planting hole. Fill the planting hole with this mixture using extra top soil if necessary. This should be done at least three weeks before transplanting. To stimulate the plants' growth top dress with 50 gm/plant of CAN. The fertilizer quantity should be split and applied 1-2 weeks after the onset of the rains."
Trans Nzoia,1.0581,34.9593,Tomato,5.83,0.11,7.3,0.68,0.71,2.3,1.77,NPK 23:23:0,"The soil pH is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil content of zinc and organic matter should be improved. 
Tomato: Prior to transplanting apply 5 tons/acre of well decomposed manure or compost. When transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 80 kg/acre of CAN at the start of flowering is beneficial. 
Capsicum: During the land preparation apply 5 tons/acre of well decomposed manure/ compost. At transplanting apply 100 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN. To correct zinc deficiency spray growing plants with a foliar feed. 
Okra: At planting time apply  in bands on the side furrow 6 tons/acre of manure or compost and 100 kg/acre of N:P:K 23:23:0. Top dress with CAN in 2 equal split applications. The first top dress should be done 3-4 weeks after planting at 35 kg/acre and the second application 3-4 weeks later at the same rate. 




"
Trans Nzoia,1.0581,34.9593,Chilli,5.0,0.11,8.0,1.37,0.71,5.9,0.85,NPK 23:23:0,"The soil pH is acidic for crops' growth. Nitrogen, phosphorus and magnesium are deficient. Soil content of zinc and organic matter should be improved. To raise soil pH and magnesium content liming with 200 kg/acre of dolomite is recommended at least 3 weeks before planting. 
Chilli: During the land preparation apply 5 tons/acre of well decomposed manure or compost. At transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When plants are 15 cm high top dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN. To correct zinc deficiency spray growing plants with a foliar feed. 
Melons: At planting time apply 5 tons/acre of manure or compost and 100 kg/acre of N:P:K 23:23:0. When plants start to ""run"" top dress with 50 kg/acre of CAN. When plants about to flower apply 100 kg/acre of CAN. 
Maize: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of N:P:K 23:23:0. When maize is about a knee high, top-dress with 50 kg/acre of CAN.

"
Trans Nzoia,1.0581,34.9593,Cabbage,5.94,0.18,6.4,0.42,1.34,2.0,2.97,NPK 23:23:0,"The soil pH is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil content of zinc and organic matter should be improved. 
Cabbage: At transplanting time use 5 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of CAN when plants are 20 cm high followed by 40 kg/acre of CAN three weeks later. 
Capsicum: During the land preparation apply 5 tons/acre of well decomposed manure/ compost. At transplanting apply 100 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN. To correct zinc deficiency spray growing plants with a foliar feed. 



"
Bungoma,0.5695,34.5584,Vegetables,5.6,0.13,2.0,0.1,0.67,1.5,1.82,NPK 17:17:17,"The soil pH is satisfactory for crops' growth. Soil fertility is poor. Soil organic matter should be improved. 
Vegetables: At transplanting time use 2 handfuls of well decomposed manure or compost per planting hole (over 4 tons/acre). Also apply 120 kg/acre of compound fertilizer N:P:K 17:17:17. Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) when plants are 20-25 cm high followed by 50 kg/acre of CAN three weeks later. 
Maize: Apply 4 tons/acre of manure or compost during the land preparation. At planting time apply 120 kg/acre of N:P:K 17:17:17. When maize is about a knee high, top-dress with 50 kg/acre of CAN. 
French beans: Before planting apply 5 tons/acre of well decomposed manure or compost. At planting time apply 120 kg/acre of N:P:K 17:17:17. Top dress with 50 kg/acre of CAN at 2-3 leave stage and 50 kg/acre at the onset of flowering. An application of foliar feed such as bayfolan is recommended from the fourth week after planting to mid-podding stage.

"
Uasin Gishu,0.5143,35.2697,Tomato,4.71,0.12,29.0,1.06,1.01,5.3,1.01,NPK 23:23:0,"Both fields have similar soil fertility condition. The soil pH is acidic for crops' growth. Nitrogen and phosphorus are deficient. Soil zinc and organic matter content should be improved. 
Tomato: Prior to transplanting apply 4 kg/m2 of well decomposed manure or compost. When transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 80 kg/acre of CAN 4 weeks later is beneficial. 
Cabbage: At transplanting time use 5 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of CAN when plants are 20 cm high followed by 40 kg/acre of CAN three weeks later. 
Capsicum: During the land preparation apply 5 tons/acre of well decomposed manure or compost. At transplanting apply 100 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN. 

"
Uasin Gishu,0.5143,35.2697,Tomato,4.8,0.11,24.0,1.1,0.97,5.9,1.03,NPK 23:23:0,"Both fields have similar soil fertility condition. The soil pH is acidic for crops' growth. Nitrogen and phosphorus are deficient. Soil zinc and organic matter content should be improved. 
Tomato: Prior to transplanting apply 4 kg/m2 of well decomposed manure or compost. When transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 80 kg/acre of CAN 4 weeks later is beneficial. 
Cabbage: At transplanting time use 5 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of CAN when plants are 20 cm high followed by 40 kg/acre of CAN three weeks later. 
Capsicum: During the land preparation apply 5 tons/acre of well decomposed manure or compost. At transplanting apply 100 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN. 

"
Bungoma,0.5695,34.5584,Maize,5.52,0.13,19.0,0.12,1.06,1.8,0.98,NPK 17:17:17,"The soil reaction is strongly(1,2) acid to moderately acid (3,4). Nirtogen (1,2,3,4), Phosphorus(1,2,3,4), Organic carbon(1,4), Potassium(1,2,3,4), Calcium(1), Magnesium(1), Zinc(1), and Manganese(1) are deficiecient,. Liming is recommended for Farm 1 and 2 at the rate of 400kg/acre using dolomite or Koru Lime. Broadcast the lime after ploughing at leats 2 months before planting.  At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. "
Bungoma,0.5695,34.5584,Maize,5.42,0.15,19.0,0.16,1.38,6.2,2.45,NPK 17:17:17,"The soil reaction is strongly(1,2) acid to moderately acid (3,4). Nirtogen (1,2,3,4), Phosphorus(1,2,3,4), Organic carbon(1,4), Potassium(1,2,3,4), Calcium(1), Magnesium(1), Zinc(1), and Manganese(1) are deficiecient,. Liming is recommended for Farm 1 and 2 at the rate of 400kg/acre using dolomite or Koru Lime. Broadcast the lime after ploughing at leats 2 months before planting.  At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. "
Bungoma,0.5695,34.5584,Maize,5.87,0.16,19.0,0.1,1.38,6.8,2.77,NPK 17:17:17,"The soil reaction is strongly(1,2) acid to moderately acid (3,4). Nirtogen (1,2,3,4), Phosphorus(1,2,3,4), Organic carbon(1,4), Potassium(1,2,3,4), Calcium(1), Magnesium(1), Zinc(1), and Manganese(1) are deficiecient,. Liming is recommended for Farm 1 and 2 at the rate of 400kg/acre using dolomite or Koru Lime. Broadcast the lime after ploughing at leats 2 months before planting.  At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. "
