county,crop,soil_pH,nitrogen,organic_carbon,phosphorus,potassium,fertilizer_Recommendation,target_fertilizer
Uasin Gishu,Capsicum,5.32,0.21,2.02,10.0,0.88,"The soil reaction (pH) is satisfactory for crops' growth. Phosphorus and zinc are deficient. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Capsicum: At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When plants are about 15 cm high top dress with 40 kg/acre of calcium ammonium nitrate (CAN) and later about 4 weeks with 80 kg/acre of CAN. 
Tomato: At planting time apply 100 kg/acre of N:P:K 23:23:0. At the start of flowering apply 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. 
Passion fruits: Mix top soil with 10 kg of well decomposed manure or compost and 50 gm of N:P:K 23:23:0 per planting hole. Fill the planting hole with this mixture using extra top soil if necessary. This should be done at least three weeks before transplanting. To stimulate the plants' growth top dress with 50 gm/plant of CAN. The fertilizer quantity should be split and applied 1-2 weeks after the onset of the rains.",NPK 23:23:0
Trans Nzoia,Tomato,5.83,0.11,0.71,7.3,0.68,"The soil pH is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil content of zinc and organic matter should be improved. 
Tomato: Prior to transplanting apply 5 tons/acre of well decomposed manure or compost. When transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 80 kg/acre of CAN at the start of flowering is beneficial. 
Capsicum: During the land preparation apply 5 tons/acre of well decomposed manure/ compost. At transplanting apply 100 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN. To correct zinc deficiency spray growing plants with a foliar feed. 
Okra: At planting time apply  in bands on the side furrow 6 tons/acre of manure or compost and 100 kg/acre of N:P:K 23:23:0. Top dress with CAN in 2 equal split applications. The first top dress should be done 3-4 weeks after planting at 35 kg/acre and the second application 3-4 weeks later at the same rate. 




",NPK 23:23:0
Trans Nzoia,Chilli,5.0,0.11,0.71,8.0,1.37,"The soil pH is acidic for crops' growth. Nitrogen, phosphorus and magnesium are deficient. Soil content of zinc and organic matter should be improved. To raise soil pH and magnesium content liming with 200 kg/acre of dolomite is recommended at least 3 weeks before planting. 
Chilli: During the land preparation apply 5 tons/acre of well decomposed manure or compost. At transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When plants are 15 cm high top dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN. To correct zinc deficiency spray growing plants with a foliar feed. 
Melons: At planting time apply 5 tons/acre of manure or compost and 100 kg/acre of N:P:K 23:23:0. When plants start to ""run"" top dress with 50 kg/acre of CAN. When plants about to flower apply 100 kg/acre of CAN. 
Maize: During the land preparation apply 4 tons/acre of well decomposed manure or compost. At planting time apply 100 kg/acre of N:P:K 23:23:0. When maize is about a knee high, top-dress with 50 kg/acre of CAN.

",NPK 23:23:0
Trans Nzoia,Cabbage,5.94,0.18,1.34,6.4,0.42,"The soil pH is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil content of zinc and organic matter should be improved. 
Cabbage: At transplanting time use 5 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of CAN when plants are 20 cm high followed by 40 kg/acre of CAN three weeks later. 
Capsicum: During the land preparation apply 5 tons/acre of well decomposed manure/ compost. At transplanting apply 100 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN. To correct zinc deficiency spray growing plants with a foliar feed. 



",NPK 23:23:0
Bungoma,Vegetables,5.6,0.13,0.67,2.0,0.1,"The soil pH is satisfactory for crops' growth. Soil fertility is poor. Soil organic matter should be improved. 
Vegetables: At transplanting time use 2 handfuls of well decomposed manure or compost per planting hole (over 4 tons/acre). Also apply 120 kg/acre of compound fertilizer N:P:K 17:17:17. Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) when plants are 20-25 cm high followed by 50 kg/acre of CAN three weeks later. 
Maize: Apply 4 tons/acre of manure or compost during the land preparation. At planting time apply 120 kg/acre of N:P:K 17:17:17. When maize is about a knee high, top-dress with 50 kg/acre of CAN. 
French beans: Before planting apply 5 tons/acre of well decomposed manure or compost. At planting time apply 120 kg/acre of N:P:K 17:17:17. Top dress with 50 kg/acre of CAN at 2-3 leave stage and 50 kg/acre at the onset of flowering. An application of foliar feed such as bayfolan is recommended from the fourth week after planting to mid-podding stage.

",NPK 17:17:17
Uasin Gishu,Tomato,4.71,0.12,1.01,29.0,1.06,"Both fields have similar soil fertility condition. The soil pH is acidic for crops' growth. Nitrogen and phosphorus are deficient. Soil zinc and organic matter content should be improved. 
Tomato: Prior to transplanting apply 4 kg/m2 of well decomposed manure or compost. When transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 80 kg/acre of CAN 4 weeks later is beneficial. 
Cabbage: At transplanting time use 5 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of CAN when plants are 20 cm high followed by 40 kg/acre of CAN three weeks later. 
Capsicum: During the land preparation apply 5 tons/acre of well decomposed manure or compost. At transplanting apply 100 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN. 

",NPK 23:23:0
Uasin Gishu,Tomato,4.8,0.11,0.97,24.0,1.1,"Both fields have similar soil fertility condition. The soil pH is acidic for crops' growth. Nitrogen and phosphorus are deficient. Soil zinc and organic matter content should be improved. 
Tomato: Prior to transplanting apply 4 kg/m2 of well decomposed manure or compost. When transplanting apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 80 kg/acre of CAN 4 weeks later is beneficial. 
Cabbage: At transplanting time use 5 tons/acre of well decomposed manure or compost. Also apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. Top dress with 40 kg/acre of CAN when plants are 20 cm high followed by 40 kg/acre of CAN three weeks later. 
Capsicum: During the land preparation apply 5 tons/acre of well decomposed manure or compost. At transplanting apply 100 kg/acre of N:P:K 23:23:0. When plants are 15 cm high top dress with 40 kg/acre of CAN. Four weeks later apply 80 kg/acre of CAN. 

",NPK 23:23:0
Bungoma,Maize,5.52,0.13,1.06,20.0,0.12,"The soil reaction is strongly(1,2) acid to moderately acid (3,4). Nirtogen (1,2,3,4), Phosphorus(1,2,3,4), Organic carbon(1,4), Potassium(1,2,3,4), Calcium(1), Magnesium(1), Zinc(1), and Manganese(1) are deficiecient,. Liming is recommended for Farm 1 and 2 at the rate of 400kg/acre using dolomite or Koru Lime. Broadcast the lime after ploughing at leats 2 months before planting.  At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. ",NPK 17:17:17
Bungoma,Maize,5.42,0.15,1.38,20.0,0.16,"The soil reaction is strongly(1,2) acid to moderately acid (3,4). Nirtogen (1,2,3,4), Phosphorus(1,2,3,4), Organic carbon(1,4), Potassium(1,2,3,4), Calcium(1), Magnesium(1), Zinc(1), and Manganese(1) are deficiecient,. Liming is recommended for Farm 1 and 2 at the rate of 400kg/acre using dolomite or Koru Lime. Broadcast the lime after ploughing at leats 2 months before planting.  At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. ",NPK 17:17:17
Bungoma,Maize,5.87,0.16,1.38,20.0,0.1,"The soil reaction is strongly(1,2) acid to moderately acid (3,4). Nirtogen (1,2,3,4), Phosphorus(1,2,3,4), Organic carbon(1,4), Potassium(1,2,3,4), Calcium(1), Magnesium(1), Zinc(1), and Manganese(1) are deficiecient,. Liming is recommended for Farm 1 and 2 at the rate of 400kg/acre using dolomite or Koru Lime. Broadcast the lime after ploughing at leats 2 months before planting.  At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. ",NPK 17:17:17
Bungoma,Maize,5.65,0.12,1.19,20.0,0.28,"The soil reaction is strongly(1,2) acid to moderately acid (3,4). Nirtogen (1,2,3,4), Phosphorus(1,2,3,4), Organic carbon(1,4), Potassium(1,2,3,4), Calcium(1), Magnesium(1), Zinc(1), and Manganese(1) are deficiecient,. Liming is recommended for Farm 1 and 2 at the rate of 400kg/acre using dolomite or Koru Lime. Broadcast the lime after ploughing at leats 2 months before planting.  At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. ",NPK 17:17:17
Bungoma,Maize,5.14,0.17,1.54,20.0,0.4,"The soil reaction is very strogly acid(8), strongly acid(5&6) to moderate acid(7). Nitrogen, Phosphorus and Zinc(8) are deficient. Liming is strongly recommended(5,6,8) at the rate of 800kg/acre of dolomitic/ Koru Lime. Broadcast lime after ploughing at least 2 months before planting. At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. ",NPK 17:17:17
Bungoma,Maize,5.34,0.18,1.64,20.0,0.56,"The soil reaction is very strogly acid(8), strongly acid(5&6) to moderate acid(7). Nitrogen, Phosphorus and Zinc(8) are deficient. Liming is strongly recommended(5,6,8) at the rate of 800kg/acre of dolomitic/ Koru Lime. Broadcast lime after ploughing at least 2 months before planting. At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. ",NPK 17:17:17
Bungoma,Maize,5.75,0.19,1.81,20.0,0.64,"The soil reaction is very strogly acid(8), strongly acid(5&6) to moderate acid(7). Nitrogen, Phosphorus and Zinc(8) are deficient. Liming is strongly recommended(5,6,8) at the rate of 800kg/acre of dolomitic/ Koru Lime. Broadcast lime after ploughing at least 2 months before planting. At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. ",NPK 17:17:17
Bungoma,Maize,4.8,0.13,1.52,20.0,0.14,"The soil reaction is very strogly acid(8), strongly acid(5&6) to moderate acid(7). Nitrogen, Phosphorus and Zinc(8) are deficient. Liming is strongly recommended(5,6,8) at the rate of 800kg/acre of dolomitic/ Koru Lime. Broadcast lime after ploughing at least 2 months before planting. At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Apply 150kg/acre of N:P:K (17:17:17) fertilizer. Top dress with 150kg/acre using CAN. ",NPK 17:17:17
Bungoma,Maize,4.74,0.16,1.44,20.0,0.14,"The soil reaction is very strongly acid. Nitrogen, Phosphorus, Potassium and Zinc are deficient. Liming is strongly recommended at the rate of 800kg/acre of dolomitic/ Koru Lime. Broadcast lime after ploughing at least 2 months before planting. At planting place three handfull of well decomposed manure/compost into planting holes and mix with the soil. Mix 150kg of N:P:K (17:17:17) with 5kg Zinc Sulphate fertilizer and apply 4 bottle tops per planting hole.Top dress with 150kg/acre using CAN. ",NPK 17:17:17
Trans Nzoia,Cabbage,6.37,0.22,2.14,300.0,1.0,"The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. 
Cabbage: Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) when seedlings are established and a second top dressing at the rate of 100 kg/acre when leaves start to fold. 
Kale: Top dress with 50 kg/acre of CAN when plants are 20 cm high followed by 50 kg/acre of CAN 3 weeks later. 
Tomato: At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN.",CAN
Trans Nzoia,Tea,5.31,0.31,3.52,40.0,0.68,All fields have similar soil fertility condition. The soil pH is satisfactory for crops' growth. Soil phosphorus and zinc are deficient in Upper 318 field. The soil content of organic matter is sufficient. Broadcast on the ground 50 gm per bush of diammonium phosphate (DAP). Manure should be applied one debe (10 kg) per bush per year. Deficiency of zinc is corrected by foliar sprays of zinc sulphate.,DAP
Trans Nzoia,Tea,5.62,0.27,3.13,27.0,0.46,All fields have similar soil fertility condition. The soil pH is satisfactory for crops' growth. Soil phosphorus and zinc are deficient in Upper 318 field. The soil content of organic matter is sufficient. Broadcast on the ground 50 gm per bush of diammonium phosphate (DAP). Manure should be applied one debe (10 kg) per bush per year. Deficiency of zinc is corrected by foliar sprays of zinc sulphate.,DAP
Trans Nzoia,Tea,5.12,0.25,2.94,53.0,0.74,All fields have similar soil fertility condition. The soil pH is satisfactory for crops' growth. Soil phosphorus and zinc are deficient in Upper 318 field. The soil content of organic matter is sufficient. Broadcast on the ground 50 gm per bush of diammonium phosphate (DAP). Manure should be applied one debe (10 kg) per bush per year. Deficiency of zinc is corrected by foliar sprays of zinc sulphate.,DAP
